ROOMID,PRICE,LATITUDE,LONGITUDE,COSTPERFORMANCE
10030097    ,20 ,1.311816262 ,103.8617381   ,-4.30E+00
16199811    ,24 , 1.31846307 ,103.9084893   ,-3.27E+00
12367388    ,30 ,1.308921359 ,103.8593252   ,-2.80E+00
 8932274    ,30 ,1.288307414 ,103.7922988   ,-2.76E+00
17426064    ,30 , 1.35235977 ,103.8806396   ,-2.46E+00
16865763    ,35 ,1.287004695 ,103.8469107   ,-2.29E+00
10818230    ,37 ,1.316419517 ,103.8573384   ,-2.28E+00
16608371    ,39 ,1.312948255 ,103.8845583   ,-1.92E+00
 7388897    ,34 ,1.314806669 ,103.8918444   ,-1.78E+00
11933991    ,28 ,1.335725446 ,103.9357015   ,-1.67E+00
10377877    ,30 ,1.312840424 ,103.9398309   ,-1.64E+00
16407748    ,49 ,1.321182042 ,103.8678657   ,-1.58E+00
16538491    ,45 ,1.305942455 ,103.8859324   ,-1.54E+00
14792764    ,53 ,1.293150052 ,103.8268237   ,-1.52E+00
 9963524    ,39 ,1.347407128 , 103.849093   ,-1.52E+00
16761767    ,39 ,1.312552822 ,103.8869599   ,-1.49E+00
 9635192    ,48 ,1.284709572 ,103.8435968   ,-1.47E+00
13564613    ,45 ,1.317535743 ,103.8914566   ,-1.46E+00
11591661    ,46 ,1.315534812 ,103.8313379   ,-1.45E+00
 7843168    ,39 ,1.314217248 ,103.9048094   ,-1.45E+00
10848771    ,46 ,1.333951632 ,103.8747965   ,-1.42E+00
 5184871    ,42 ,1.353320464 ,103.8285058   ,-1.37E+00
16668898    ,39 ,1.339231474 ,103.7708709   ,-1.31E+00
 7791384    ,51 ,1.327411928 ,103.8641105   ,-1.28E+00
16680449    ,41 ,1.324029185 ,103.9268746   ,-1.28E+00
16430071    ,58 ,1.312729504 , 103.858234   ,-1.26E+00
 7959059    ,45 ,1.363599239 ,103.8704048   ,-1.26E+00
15208476    ,51 ,1.293590791 ,103.8259865   ,-1.26E+00
15301844    ,42 ,1.313432621 ,103.9064925   ,-1.26E+00
16918412    ,51 ,1.291421138 ,103.8313821   ,-1.22E+00
16819478    ,53 ,1.293093014 , 103.825914   ,-1.17E+00
 4008423    ,52 ,1.311567159 ,103.8597959   ,-1.17E+00
 9348542    ,41 ,1.380384932 ,103.7681659   ,-1.14E+00
10598600    ,38 ,1.399769615 ,103.8976294   ,-1.13E+00
17207382    ,55 ,1.289231748 ,103.7782345   ,-1.11E+00
17076211    ,51 ,1.333941225 ,103.8446169   ,-1.10E+00
16783283    ,41 ,1.327223643 ,103.9095887   ,-1.07E+00
13039292    ,55 , 1.31248106 ,103.8558223   ,-1.06E+00
16932344    ,65 , 1.27582643 ,103.8357851   ,-1.06E+00
