ATTRACTIONID,FOODID,DISTANCE
4,98,2.981
4,99,8.065
4,100,6.307
1,101,3.003
1,102,20.365
1,103,2.723
1,104,10.576
1,105,2.434
1,106,3.3
1,107,0.961
1,108,1.57
1,109,0.782
1,110,5.03
1,111,16.737
1,112,2.016
1,113,10.593
1,114,2.362
1,115,8.99
1,116,24.417
1,117,9.071
1,118,8.274
1,119,3.882
1,120,3.187
1,121,3.24
1,122,10.352
1,123,3.885
1,124,10.282
1,125,2.743
2,101,2.537
2,102,22.777
2,103,1.89
2,104,11.641
2,105,4.079
2,106,2.468
2,107,2.483
2,108,0.738
2,109,1.821
2,110,5.267
2,111,16.967
2,112,3.538
2,113,8.369
2,114,1.532
2,115,8.904
2,116,26.829
2,117,8.985
2,118,11.439
2,119,2.846
2,120,3.548
2,121,3.601
2,122,9.523
2,123,3.052
2,124,7.384
2,125,2.667
3,101,3.321
3,102,24.523
3,103,4.204
3,104,14.735
3,105,9.04
3,106,3.052
3,107,6.042
3,108,5.222
3,109,5.381
3,110,5.155
3,111,13.859
3,112,9.063
3,113,14.751
3,114,6.017
3,115,15.342
3,116,28.575
3,117,15.424
3,118,12.432
3,119,5.254
3,120,3.93
3,121,3.983
3,122,6.958
3,123,4.68
3,124,3.949
3,125,5.075
4,101,1.169
4,102,22.972
4,103,1.524
4,104,13.184
4,105,7.489
4,106,1.1
4,107,4.988
4,108,1.817
4,109,2.9
4,110,5.78
4,111,16.089
4,112,4.338
4,113,9.097
4,114,2.237
4,115,9.577
4,116,27.024
4,117,9.658
4,118,10.882
4,119,3.736
4,120,4.063
4,121,4.116
4,122,7.455
4,123,1.684
4,124,5.758
4,125,3.556
1,126,17.602
1,127,17.358
1,128,6.172
1,129,12.326
1,130,15.086
1,131,21.997
1,132,5.49
1,133,5.826
1,134,20.206
1,135,17.374
1,136,22.499
1,137,19.698
1,138,14.711
1,139,23.221
1,140,3.253
1,141,22.444
1,142,18.727
1,143,9.278
1,144,7.548
1,145,18.891
1,146,24.47
1,147,19.443
1,148,10.742
1,149,11.435
1,150,25.726
2,126,17.516
2,127,17.245
2,128,6.534
2,129,10.102
2,130,21.342
2,131,24.136
2,132,9.471
2,133,5.713
2,134,17.982
2,135,17.26
2,136,23.711
2,137,16.531
2,138,14.598
2,139,25.633
2,140,5.708
2,141,19.862
2,142,16.503
2,143,10.902
2,144,12.287
2,145,21.03
2,146,26.882
2,147,25.699
2,148,13.154
2,149,13.848
2,150,26.143
3,126,23.955
3,127,22.88
3,128,3.863
3,129,16.485
3,130,21.713
3,131,21.028
3,132,13.154
3,133,13.289
3,134,24.364
3,135,23.588
3,136,20.603
3,137,23.857
3,138,20.926
3,139,27.379
3,140,8.071
3,141,16.754
3,142,22.885
3,143,5.458
3,144,14.65
3,145,17.922
3,146,28.629
3,147,26.248
3,148,14.901
3,149,15.594
3,150,23.035
4,126,18.189
4,127,17.973
4,128,5.536
4,129,10.831
4,130,22.07
4,131,23.259
4,132,10.199
4,133,6.441
4,134,18.71
4,135,17.989
4,136,22.833
4,137,17.26
4,138,15.326
4,139,25.829
4,140,6.52
4,141,18.985
4,142,17.231
4,143,10.024
4,144,13.099
4,145,20.152
4,146,27.078
4,147,26.428
4,148,13.35
4,149,14.043
4,150,25.265
1,151,10.617
1,152,13.105
1,153,24.669
1,154,0.992
1,155,12.27
1,156,18.287
1,157,24.417
1,158,17.602
1,159,15.863
1,160,7.985
1,161,7.985
1,162,14.686
1,163,14.905
1,164,22.113
1,165,19.845
1,166,9.716
1,167,16.601
1,168,19.203
1,169,6.547
1,170,14.747
1,171,15.863
1,172,13.745
1,173,16.536
1,174,19.266
1,175,13.921
2,151,12.358
2,152,12.572
2,153,27.081
2,154,1.771
2,155,12.295
2,156,16.063
2,157,26.829
2,158,17.516
2,159,22.119
2,160,7.155
2,161,7.155
2,162,20.956
2,163,21.161
2,164,21.919
2,165,22.257
2,166,7.492
2,167,14.377
2,168,17.688
2,169,5.533
2,170,12.523
2,171,22.119
2,172,16.157
2,173,16.834
2,174,21.678
2,175,15.382
3,151,12.823
3,152,9.464
3,153,28.828
3,154,5.33
3,155,9.187
3,156,22.446
3,157,28.575
3,158,23.955
3,159,22.489
3,160,4.961
3,161,4.961
3,162,18.845
3,163,21.531
3,164,18.811
3,165,24.003
3,166,13.875
3,167,20.759
3,168,23.362
3,169,4.701
3,170,18.906
3,171,22.489
3,172,17.904
3,173,13.726
3,174,23.424
3,175,18.079
4,151,15.053
4,152,11.694
4,153,27.277
4,154,2.85
4,155,11.418
4,156,16.792
4,157,27.024
4,158,18.189
4,159,22.847
4,160,5.087
4,161,5.087
4,162,17.294
4,163,21.889
4,164,21.041
4,165,22.452
4,166,8.221
4,167,15.105
4,168,18.417
4,169,5.326
4,170,13.877
4,171,22.847
4,172,16.353
4,173,15.956
4,174,21.873
4,175,16.111
1,176,13.252
1,177,16.089
1,178,16.089
1,179,17.08
1,180,18.684
1,181,13.831
1,182,1.547
1,183,15.412
1,184,15.412
1,185,22.113
1,186,20.438
1,187,19.845
1,188,10.628
1,189,10.628
1,190,1.531
1,191,14.978
1,192,4.135
1,193,3.501
